Word,Frequency
편세권,1
식테크,1
닭질,1
티키타카,2
나토족,2
강퇴,1
댕청이,2
쌤,2
남주,1
캐미,1
가계정,3
꾸꾸꾸,2
진지충,1
킹왕짱,1
전쪽,1
갑분싸,1
영끌족,2
알파맘,1
스불재,2
도세권,2
문찐,1
허접,1
라떼는말이야,1
실화냐,2
직딩,5
하메,1
땅콩주택,1
초코아,2
공세권,7
몰세권,2
엘사,1
전거지,2
개무시,2
이생집망,3
오포세대,1
조낸,4
죽빵,5
월거지,1
휴거지,1
홈캠핑,1
펫팸족,1
주복,2
놀토,1
워너비,2
가성비,4
갑통알,2
야근각,1
코인충,1
채린이,1
잘알,1
토스매매법,1
짠테크,5
파테크,1
저렴이,2
가심비,1
멍청비용,2
쓸쓸비용,1
떡락,1
착한가격,1
현타,2
존버,2
이코노사이드,1
욜로족,1
욜로,1
혼코노,1
코노,1
렬루,2
노답,6
뇌피셜,1
다이다이,1
노가리,1
리즈시절,1
말넘심,3
따봉,1
뚜벅이,1
빵커,1
뚱냥이,1
헐랭방구,1
오운완,1
행복회로,1
품절녀,1
스드메,1
에바,2
시월드,6
엄카,2
마마보이,2
콩가루집안,5
헐,3
속도위반결혼,1
골드맘,1
치마바람,1
아들램,5
극혐,4
엄빠,1
비번,1
남의편,1
개깜놀,2
찌질이,2
억텐,1
예랑,2
치맥,1
절친,1
꼰대,4
워커홀릭,2
개짜증,4
이퇴백,1
쉼포족,1
파이어족,3
데꼬보꼬,3
워라밸,3
이태백,2
삼태백,1
취집,1
삼초땡,2
오륙도,2
월급루팡,1
돌취생,3
코피스족,1
회의주의자,1
고진감래,2
환승이직,1
암반수,1
청백전,1
장미족,1
주챔,1
애쉬,1
버프,1
챔프,1
PVP,1
원딜,1
하드캐리,1
서폿,2
한타,1
제라스,1
파밍,1
닷지,1
여친,4
캐삭빵,1
현질,1
문상,1
순삭,1
평타,1
템빨,1
렙업,1
쿠쿠루삥뽕,1
밸붕,1
배그,4
팀킬,1
트롤러,1
상스치콤,1
존맛탱,1
고딩,5
아닥공,1
수포자,3
영포자,2
땡땡이,2
담탱이,2
은따,1
전따,1
올백,1
얼짱,2
아싸,2
깜지,5
재종학원,2
대딩,2
고삼,1
셤,1
사망년,3
풀강,1
어브로드족,2
조삼모사,1
아닥,1
억까,2
믿거,1
무뇌충,1
슴가,1
이생망,3
복세편살,2
오키,3
쌉가능,1
레게노,1
무야호,1
반갈죽,1
급식충,1
띵언,1
오지라퍼,1
인스타,1
페북,1
팩폭,1
댓망진창,1
프사,5
우귀체,3
낫닝겐,1
어케,2
정뚝떨,1
심멎,1
앗싸리,2
만찢녀,2
싫존주의,1
여사친,1
뽀샵,1
금손,1
배사,1
꽃길,2
넘나,1
처묵처묵,2
개꿀맛,1
쩐다,1
런치플레이션,1
편도,2
열라,1
오피스브런치족,1
워런치족,2
맛점,1
피맥,3
김떡순,1
개어이없다,1
혼밥,2
혼술,1
오케바리,2
남소,2
저메추,1
꾸안꾸,2
차도녀,4
따도녀,2
밀당,1
모솔,1
만찢남,3
비담,1
만찢커플,1
금사빠,3
썸,1
자만추,1
남친,4
우유남,1
따도남,2
존예,1
존멋,1
남친룩,1
어장관리,1
완소남,1
당나귀,1
그린라이트,1
머가리,2
노잼,1
인싸,1
유잼,1
유리멘탈,1
감튀,1
존잼,1
뭥미,2
헬게이트,2
손놈,1
노맛,1
일말상초,1
싸지방,1
풀창,1
하이바,2
싸제,2
뽀글이,1
팅커벨,1
이등별,2
짬바,1
덕질,3
여돌,1
남돌,1
걸크러쉬,1
손민수,1
페북스타,1
인플루언서,1
평타치,1
솔삐,2
힘숨찐,1
겟레디윗미,1
과몰입충,1
개이득,2
뽀찌,1
돌판,1
레알,2
칭구칭긔,1
주작,1
군바리,1
갓수,2
아봉,1
찐텐,2
나홀로서울족,1
개고생,1
내돈내산,1
닥본사,1
베프,1
딸램,4
초딩,2
에바참치,1
슈발,2
케바케,1
스몸비,1
쌉파서블,1
신기방기,1
쓸고퀄,1
카푸어,1
악플러,1
기러기아빠,4
타이거맘,1
대빵,1
지름신,1
텅장,1
펭귄아빠,1
독수리아빠,1
안습,1
우래기,1
애유엄브,1
카페맘,2
아카데미맘,1
무지개매너,1
회방남,1
넌씨눈,1
십장생,1
반퇴세대,1
이구백,1
귀차니즘,2
주잘알,1
주린이,1
철수저,1
타조세대,2
뽐뿌,1
벼락거지,1
바닥,1
리또속,1
다이아몬드수저,1
쌉소름,1
오피스빌런,1
금융치료,1
먼솔,1
식집사,2
첨,2
욕세권,1
대따,1
내말그말,1
집콕,1
휘게라이프,1
청포족,1
빽빽이,2
몰루,1
흠좀무,1
극딜,1
만반잘부,1
골잘알,2
근자감,2
오잘공,2
어잘공,1
온탕냉탕,1
일파만파,1
구찌,2
중딩,1
폼생폼사,2
줄담,1
담타,1
맞담,1
하이텐션,1
오키도키,1
뽀대,1
골린이,1
히키코모리,1
친목질,1
대유잼,1
알박기,1
숲세권,1
코린이,1
은수저,1
개취,1
낄끼빠빠,1
고고싱,1
돌싱,1
취준생,1
옵치,1
광클,1
셔틀,1
꿀잼,1
냉무,1
답정너,1
랜선,1
리플,1
낙곱새,1
강추,1
군대리아,1
말번,1
먹튀,1
당근,1
맞삭,1
칼퇴,1
자소서,1
알바,1
물타기,1
돈쭐내다,1
손절,1
퐁퐁남,1
설거지남,1
구라,1
주세권,1
마용성,1
아도치기,1
격공,1
와이파이샷,1
호캉스,1
맛세이,1
