Next Token/Tag,Count
삼각/NNG,1
있/VA,6
좀/MAG,5
잘/MAG,4
단어/NNG,1
타령하/VV,1
부르/VV,1
여주/NNP,1
살/VV,3
이상하/VA,1
스타일/NNG,1
오늘/MAG,1
것/NNB,2
되/VV,31
뜻/NNG,1
계획표/NNG,1
아니/VCN,23
같/VA,8
장난하/VV,1
(/SS,2
생기/VV,2
만들/VV,3
제일/MAG,2
뿐/NNB,1
몰세권/NNG,2
다/MAG,3
사회생활/NNG,1
조르/VV,2
비하하/VV,1
하/VV,41
신조어/NNG,1
슬프/VA,1
나오/VV,6
좁/VA,1
날아가/VV,1
전거지/NNG,1
휴거지/NNG,1
말/NNG,5
해보/VV,1
동물/NNG,1
아파트/NNG,1
오/VV,5
누구/NP,1
나/NP,7
도전하/VV,1
따지/VV,1
직장/NNG,1
잡히/VV,1
마찬가지/NNG,1
거/NNB,8
중/NNB,1
제품/NNG,3
가성비/NNG,1
중요하/VA,1
이렇/VA,1
소식/NNG,1
그런/MMD,3
멀리/MAG,1
결국/MAG,1
계속하/VV,1
좋아하/VV,3
추억/NNG,1
지금/NNG,1
까/VV,1
좋/VA,6
이미/MAG,1
요즘/NNG,3
걱정/NNG,1
먹/VV,4
스트레스/NNG,1
살찌/VV,1
돌리/VV,1
진짜/NNG,2
어떻/VA,4
긁/VV,1
아직/MAG,1
./SF,1
예랑이/NNG,1
밥/NNG,1
무섭/VA,2
절대로/MAG,1
안/MAG,7
장면/NNG,1
진짜/MAG,2
또/MAG,2
웃/VV,1
먼저/MAG,1
시어머니/NNG,1
얘기하/VV,1
너/NP,3
쏘/VV,1
유명하/VA,1
그러/VV,1
그런데/MAJ,1
워라밸/NNG,1
꿈/NNG,1
삼태백/NNG,1
웬/MMD,1
너무/MAG,3
사오정/NNP,1
돌아가/VV,1
회의주의자/NNG,1
시대/NNG,1
애쉬/NNG,1
버프/NNG,1
뭐/NP,3
끔살/NNG,1
방/NNG,1
갈게/NNG,2
파밍/NNG,1
차이/NNG,1
연락하/VV,1
준비되/VV,1
주/VV,2
한/MMN,5
성장하/VV,1
어제/MAG,1
뭔/MMD,1
",/SP",7
힘내/VV,1
아주/MAG,1
치/VV,2
수학/NNG,1
가/VV,6
얼마/NNG,1
무슨/MMD,1
어울리/VV,1
마음/NNG,1
평소/NNG,1
기분/NNG,1
다음/NNG,1
슴가/NNG,1
뚫/VV,1
가끔/MAG,1
생각/NNG,2
무야호/NNG,1
당하/VV,4
운전/NNG,1
인정/NNG,1
페북/NNG,1
보/VV,3
달/VV,1
중요/NNG,1
우귀체/NNG,2
날리/VV,2
남자/NNG,1
정말로/MAG,1
만나/VV,2
맞/VV,2
남/VV,1
표현하/VV,1
따로/MAG,1
카톡/NNP,2
기능/NNG,1
장난/NNG,1
자제하/VV,1
걷/VV,2
많이/MAG,2
종일/NNG,1
터/NNB,1
쩐다/NNG,1
런치플레이션/NNG,1
때문/NNB,1
전쟁/NNG,1
정말/MAG,2
제법/MAG,1
김떡순/NNG,1
친구/NNG,1
혼술/NNG,1
받/VV,1
보이/VV,2
더/MAG,1
적당히/MAG,1
만찢남/NNG,1
일단/MAG,2
우유남/NNG,1
자상하/VA,1
진정하/VA,1
아프/VA,1
존멋/NNG,1
남친룩/NNG,1
당나귀/NNG,1
저장하/VV,1
밝혀지/VV,1
터지/VV,1
시기/NNG,1
태도/NNG,1
사람/NNG,2
비꼬/VV,1
심심하/VA,1
돌/VV,1
따도녀/NNG,1
결식하/VV,1
화/NNG,1
씌우/VV,1
말귀/NNG,1
이불/NNG,1
감사하/VV,1
교육/NNG,1
기고만장하/VA,1
바로/MAG,1
놓/VV,1
말하/VV,2
덕질/NNG,1
덕질/MAG,1
느끼/VV,1
있/VX,1
위주/NNG,1
내/NP,1
가뿐히/MAG,1
등장하/VV,1
영상/NNG,1
상상/NNG,1
하/VX,1
소리/NNG,2
결근/NNG,1
나/VV,2
돌취생/NNG,1
열리/VV,1
땅바닥/NNG,1
안되/VV,2
시키/VV,1
오늘/NNG,1
용돈/NNG,2
완전/MAG,1
미치/VV,1
입/NNG,1
올인하/VV,1
우리/NP,1
들어주/VV,1
애/NNG,1
않/VX,1
많/VA,2
조낸/NNG,1
뭐/IC,2
그때/NNG,1
참/MAG,1
그/MMD,1
타/MMD,1
하나/NR,1
오지/NNG,1
보통/MAG,1
집안/NNG,1
예고/NNG,1
그렇/VA,3
오랜/MMA,1
쥐/VV,1
잡새/NNG,1
우래기/NNG,1
간/NNB,1
즐기/VV,1
개매너/NNG,1
노답/NNG,1
곰곰이/MAG,1
어쩐지/MAG,1
회사/NNG,1
언제나/MAG,1
신경/NNG,1
비교/NNG,1
벗어나/VV,1
밀려오/VV,1
다르/VA,1
아르바이트/NNG,1
설마/MAG,1
딱/MAG,1
공세권/NNG,1
이런/MMD,1
끝내주/VV,1
달리/MAG,1
전락하/VV,1
웃기/VV,1
발코니/NNG,1
답답하/VA,1
생각하/VV,1
위하/VV,1
그거/NP,1
너네/SL,1
몇/NR,1
잖아/EF,1
문제아/NNG,1
걸리/VV,1
만반잘부/NNG,1
넙죽/MAG,1
덕분/NNG,1
아들/NNG,1
때/NNG,1
수준/NNG,1
담/NNG,1
크/VV,1
